Analógico 2	Analógico 1	Analógico 2
U2/V	U1/V	U2/V

0,36	0,29	0,36
0,38	0,29	0,38
0,38	0,27	0,38
0,36	0,30	0,36
0,36	0,29	0,36
0,36	0,29	0,36
0,38	0,29	0,38
0,38	0,29	0,38
0,36	0,29	0,36
0,38	0,29	0,38
0,36	0,29	0,36
0,38	0,29	0,38
0,38	0,30	0,38
0,38	0,30	0,38
0,38	0,29	0,38
0,36	0,30	0,36
0,36	0,29	0,36
0,36	0,29	0,36
0,36	0,27	0,36
0,38	0,30	0,38
0,36	0,30	0,36
0,36	0,29	0,36
0,36	0,29	0,36
0,38	0,29	0,38
0,36	0,29	0,36
0,38	0,29	0,38
0,36	0,29	0,36
0,36	0,29	0,36
0,35	0,29	0,35
0,36	0,30	0,36
0,36	0,30	0,36
0,36	0,30	0,36
0,36	0,29	0,36
0,36	0,29	0,36
0,38	0,29	0,38
0,36	0,29	0,36
0,38	0,27	0,38
0,38	0,30	0,38
0,41	0,29	0,41
0,42	0,30	0,42
0,47	0,29	0,47
0,50	0,29	0,50
0,54	0,29	0,54
0,60	0,29	0,60
0,65	0,29	0,65
0,69	0,29	0,69
0,75	0,29	0,75
0,80	0,29	0,80
0,86	0,30	0,86
0,93	0,29	0,93
0,99	0,30	0,99
1,07	0,29	1,07
1,16	0,29	1,16
1,22	0,29	1,22
1,28	0,29	1,28
1,34	0,29	1,34
1,41	0,30	1,41
1,49	0,30	1,49
1,56	0,30	1,56
1,62	0,30	1,62
1,70	0,29	1,70
1,76	0,29	1,76
1,82	0,29	1,82
1,90	0,30	1,90
1,97	0,30	1,97
2,03	0,32	2,03
2,09	0,30	2,09
2,17	0,30	2,17
2,23	0,30	2,23
2,30	0,29	2,30
2,36	0,30	2,36
2,42	0,30	2,42
2,50	0,30	2,50
2,56	0,30	2,56
2,63	0,30	2,63
2,69	0,30	2,69
2,75	0,30	2,75
2,81	0,30	2,81
2,87	0,30	2,87
2,95	0,32	2,95
3,01	0,32	3,01
3,08	0,30	3,08
3,14	0,32	3,14
3,20	0,30	3,20
3,26	0,32	3,26
3,32	0,32	3,32
3,40	0,32	3,40
3,44	0,33	3,44
3,52	0,35	3,52
3,58	0,33	3,58
3,65	0,35	3,65
3,72	0,33	3,72
3,78	0,35	3,78
3,84	0,35	3,84
3,90	0,35	3,90
3,96	0,35	3,96
4,00	0,36	4,00
4,08	0,36	4,08
4,14	0,35	4,14
4,20	0,36	4,20
4,26	0,36	4,26
4,32	0,36	4,32
4,38	0,38	4,38
4,44	0,38	4,44
4,50	0,38	4,50
