Analógico 2	Analógico 1	Analógico 2
U2/V	U1/V	U2/V

0,57	0,02	0,57
0,59	0,02	0,59
0,65	0,02	0,65
0,95	0,02	0,95
1,34	0,02	1,34
1,76	0,02	1,76
2,15	0,02	2,15
2,54	0,02	2,54
2,93	0,02	2,93
3,31	0,02	3,31
3,69	0,02	3,69
4,06	0,02	4,06
4,42	0,01	4,42
4,78	0,02	4,78
5,14	0,02	5,14
5,49	0,02	5,49
5,84	0,02	5,84
6,18	0,02	6,18
6,53	0,03	6,53
6,84	0,03	6,84
7,17	0,03	7,17
7,51	0,03	7,51
7,82	0,03	7,82
8,14	0,03	8,14
8,45	0,03	8,45
8,75	0,03	8,75
9,05	0,03	9,05
9,36	0,03	9,36
9,64	0,03	9,64
9,93	0,03	9,93
10,23	0,03	10,23
10,51	0,03	10,51
10,78	0,04	10,78
11,06	0,04	11,06
11,34	0,04	11,34
11,61	0,04	11,61
11,87	0,04	11,87
12,12	0,04	12,12
12,38	0,04	12,38
12,63	0,04	12,63
12,89	0,04	12,89
13,15	0,04	13,15
13,39	0,04	13,39
13,63	0,04	13,63
13,87	0,04	13,87
14,11	0,04	14,11
14,33	0,04	14,33
14,56	0,04	14,56
14,79	0,04	14,79
15,01	0,04	15,01
15,24	0,04	15,24
15,46	0,04	15,46
15,70	0,04	15,70
15,94	0,05	15,94
16,18	0,05	16,18
16,41	0,05	16,41
16,65	0,05	16,65
16,88	0,05	16,88
17,10	0,05	17,10
17,33	0,05	17,33
17,54	0,05	17,54
17,76	0,05	17,76
17,97	0,05	17,97
18,20	0,05	18,20
18,40	0,05	18,40
18,61	0,05	18,61
18,82	0,05	18,82
19,01	0,05	19,01
19,22	0,05	19,22
19,40	0,06	19,40
19,60	0,05	19,60
19,79	0,06	19,79
19,97	0,05	19,97
20,17	0,06	20,17
20,35	0,06	20,35
20,53	0,06	20,53
20,71	0,06	20,71
20,89	0,06	20,89
21,07	0,06	21,07
21,24	0,06	21,24
21,40	0,06	21,40
21,57	0,06	21,57
21,73	0,06	21,73
21,91	0,06	21,91
22,07	0,06	22,07
22,23	0,06	22,23
22,38	0,06	22,38
22,55	0,06	22,55
22,70	0,06	22,70
22,86	0,06	22,86
23,00	0,06	23,00
23,15	0,07	23,15
23,30	0,06	23,30
23,43	0,07	23,43
23,58	0,06	23,58
23,72	0,07	23,72
23,87	0,07	23,87
24,01	0,07	24,01
24,14	0,07	24,14
24,28	0,07	24,28
24,40	0,07	24,40
24,53	0,07	24,53
24,67	0,07	24,67
24,80	0,07	24,80
24,92	0,07	24,92
25,06	0,07	25,06
25,16	0,07	25,16
25,30	0,07	25,30
25,42	0,07	25,42
25,54	0,07	25,54
25,66	0,07	25,66
25,77	0,07	25,77
25,89	0,07	25,89
26,01	0,08	26,01
26,11	0,08	26,11
26,22	0,08	26,22
26,32	0,08	26,32
26,43	0,08	26,43
26,55	0,08	26,55
26,65	0,08	26,65
26,76	0,08	26,76
26,86	0,08	26,86
26,95	0,08	26,95
27,06	0,08	27,06
