Analógico 2	Analógico 1	Analógico 2
U2/V	U1/V	U2/V

0,33	0,06	0,33
0,35	0,05	0,35
0,48	0,06	0,48
0,66	0,05	0,66
0,86	0,06	0,86
1,05	0,06	1,05
1,23	0,06	1,23
1,41	0,06	1,41
1,59	0,07	1,59
1,77	0,07	1,77
1,96	0,07	1,96
2,12	0,07	2,12
2,30	0,08	2,30
2,48	0,08	2,48
2,66	0,08	2,66
2,84	0,08	2,84
3,02	0,09	3,02
3,20	0,09	3,20
3,38	0,09	3,38
3,55	0,10	3,55
3,73	0,10	3,73
3,90	0,10	3,90
4,06	0,11	4,06
4,23	0,11	4,23
4,39	0,12	4,39
4,56	0,13	4,56
4,71	0,13	4,71
4,87	0,14	4,87
5,02	0,15	5,02
5,17	0,16	5,17
5,32	0,17	5,32
5,47	0,18	5,47
5,61	0,19	5,61
5,78	0,20	5,78
5,91	0,21	5,91
6,05	0,22	6,05
6,18	0,23	6,18
6,33	0,24	6,33
6,47	0,24	6,47
6,60	0,24	6,60
6,72	0,23	6,72
6,86	0,24	6,86
6,99	0,23	6,99
7,11	0,23	7,11
7,23	0,23	7,23
7,37	0,22	7,37
7,49	0,22	7,49
7,61	0,22	7,61
7,73	0,22	7,73
7,85	0,22	7,85
7,97	0,23	7,97
8,08	0,23	8,08
8,18	0,24	8,18
8,30	0,24	8,30
8,41	0,25	8,41
8,53	0,26	8,53
8,63	0,27	8,63
8,74	0,27	8,74
8,84	0,28	8,84
8,95	0,29	8,95
9,05	0,31	9,05
9,14	0,32	9,14
9,24	0,33	9,24
9,34	0,34	9,34
9,43	0,36	9,43
9,55	0,37	9,55
9,64	0,39	9,64
9,73	0,40	9,73
9,82	0,42	9,82
9,91	0,44	9,91
10,00	0,45	10,00
10,09	0,47	10,09
10,18	0,48	10,18
10,26	0,50	10,26
10,36	0,52	10,36
10,44	0,53	10,44
10,51	0,54	10,51
10,60	0,55	10,60
10,69	0,56	10,69
10,77	0,57	10,77
10,84	0,57	10,84
10,92	0,57	10,92
10,99	0,56	10,99
11,07	0,56	11,07
11,16	0,55	11,16
11,24	0,54	11,24
11,30	0,53	11,30
11,37	0,52	11,37
11,45	0,51	11,45
11,51	0,50	11,51
11,58	0,50	11,58
11,66	0,49	11,66
11,72	0,48	11,72
11,79	0,48	11,79
11,87	0,47	11,87
11,93	0,46	11,93
11,99	0,46	11,99
12,06	0,46	12,06
12,12	0,46	12,12
12,18	0,46	12,18
12,24	0,46	12,24
12,30	0,47	12,30
12,36	0,47	12,36
12,42	0,47	12,42
12,48	0,48	12,48
