Analógico 2	Analógico 1	Analógico 2
U2/V	U1/V	U2/V

0,35	0,09	0,35
0,36	0,09	0,36
0,39	0,09	0,39
0,48	0,09	0,48
0,60	0,09	0,60
0,72	0,09	0,72
0,87	0,09	0,87
0,99	0,10	0,99
1,11	0,10	1,11
1,25	0,10	1,25
1,38	0,11	1,38
1,56	0,12	1,56
1,76	0,12	1,76
1,96	0,13	1,96
2,15	0,14	2,15
2,36	0,15	2,36
2,56	0,16	2,56
2,75	0,17	2,75
2,93	0,18	2,93
3,11	0,19	3,11
3,26	0,20	3,26
3,43	0,20	3,43
3,58	0,21	3,58
3,73	0,22	3,73
3,88	0,23	3,88
4,03	0,24	4,03
4,17	0,24	4,17
4,32	0,25	4,32
4,45	0,26	4,45
4,60	0,27	4,60
4,72	0,28	4,72
4,86	0,29	4,86
5,01	0,30	5,01
5,13	0,31	5,13
5,26	0,32	5,26
5,40	0,33	5,40
5,52	0,35	5,52
5,64	0,36	5,64
5,78	0,38	5,78
5,91	0,40	5,91
6,02	0,43	6,02
6,14	0,45	6,14
6,26	0,48	6,26
6,38	0,50	6,38
6,50	0,52	6,50
6,60	0,54	6,60
6,72	0,55	6,72
6,84	0,57	6,84
6,98	0,58	6,98
7,10	0,59	7,10
7,22	0,60	7,22
7,32	0,61	7,32
7,43	0,62	7,43
7,55	0,62	7,55
7,67	0,63	7,67
7,78	0,63	7,78
7,88	0,64	7,88
8,00	0,65	8,00
8,09	0,65	8,09
8,21	0,66	8,21
8,32	0,66	8,32
8,41	0,67	8,41
8,51	0,67	8,51
8,62	0,68	8,62
8,72	0,69	8,72
8,83	0,70	8,83
8,93	0,71	8,93
9,04	0,72	9,04
9,14	0,73	9,14
9,24	0,74	9,24
9,34	0,75	9,34
9,43	0,76	9,43
9,52	0,78	9,52
9,63	0,79	9,63
9,72	0,80	9,72
9,81	0,82	9,81
9,90	0,84	9,90
9,99	0,86	9,99
10,08	0,88	10,08
10,17	0,91	10,17
10,26	0,94	10,26
10,33	0,97	10,33
10,44	1,00	10,44
10,51	1,05	10,51
10,60	1,09	10,60
10,68	1,14	10,68
10,75	1,18	10,75
10,83	1,22	10,83
10,90	1,26	10,90
10,99	1,29	10,99
11,07	1,33	11,07
11,15	1,35	11,15
11,22	1,37	11,22
11,30	1,39	11,30
11,36	1,41	11,36
11,45	1,42	11,45
11,51	1,43	11,51
11,58	1,43	11,58
11,64	1,44	11,64
11,70	1,44	11,70
11,78	1,44	11,78
11,84	1,44	11,84
11,91	1,44	11,91
11,99	1,44	11,99
12,05	1,44	12,05
